latitude,longitude,label,name
44,282,"Permitted, no sanctions",Huron
43,283,"Permitted, no sanctions",Seneca
41,285,"Permitted, no sanctions",Delaware
32,269,"Permitted, no sanctions",Natchez
36,254,"Permitted, no sanctions",San Ildefonso
35,253,"Permitted, no sanctions",Santa Ana
36,249,"Permitted, no sanctions",Hopi
35,246,"Permitted, no sanctions",Mojave
28,253,"Permitted, no sanctions",Tarahumara
11,288,"Permitted, no sanctions",Paraujano
19.94,284.63,"Permitted, no sanctions",Taíno
5,301,"Permitted, no sanctions",Barama River Carib
5,294,"Permitted, no sanctions",Yabarana
1,301,"Permitted, no sanctions",Wai-wai
4,294,"Permitted, no sanctions",Sanema
-16,296,"Permitted, no sanctions",Sirionó
-3,288,"Permitted, no sanctions",Yagua
-10,288,"Permitted, no sanctions",Amahuaca
-9,286,"Permitted, no sanctions",Shipibo-Conibo
5,288,"Permitted, no sanctions",Muisca
-24,297,"Permitted, no sanctions",Wichí
-22,303,"Permitted, no sanctions",Kadiwéu
-22,298,"Permitted, no sanctions",Choroti
-25,300,"Permitted, no sanctions",Toba
-16,305,"Permitted, no sanctions",Bororo
-12,307,"Permitted, no sanctions",Trumai
-28,310,"Permitted, no sanctions",Aweikoma
-8,325,"Permitted, no sanctions",Tupinambá
57,53,"Permitted, no sanctions",Udmurt
72,90,"Permitted, no sanctions",Nganasan
54.98,161.79,"Permitted, no sanctions",Itelmen
64,173,"Permitted, no sanctions",Ungazikmit
55,112,"Permitted, no sanctions",Evenk
51,138,"Permitted, no sanctions",Oroch
